RBP	variable	value
ELAC1	hsa-let-7a-2	0
IGF2BP1	hsa-let-7a-2	1.37942535499545
IGF2BP2	hsa-let-7a-2	2.12488606228042
IGF2BP3	hsa-let-7a-2	1.05768126409903
PGAM5	hsa-let-7a-2	0.289855072463768
CSTF1	hsa-let-7a-2	0
LCORL	hsa-let-7a-2	0
NOL4L	hsa-let-7a-2	0
LIN28A	hsa-let-7a-3	0.871839581517001
LIN28B	hsa-let-7a-3	1.1696488564816
ZCCHC11	hsa-let-7a-3	0
ZCCHC6	hsa-let-7a-3	0
HNRNPL	hsa-let-7a-3	1.1914752307799
STRBP	hsa-let-7a-3	12.7822333360333
NUDT16L1	hsa-let-7a-3	13.1743492975946
GRSF1	hsa-let-7a-3	33.1018733767773
HNRNPF	hsa-let-7a-3	6.2207084680967
HNRNPH1	hsa-let-7a-3	5.218955550323
HNRNPH2	hsa-let-7a-3	7.55116127530243
HNRNPH3	hsa-let-7a-3	6.35834434561831
ADARB1	hsa-let-7a-3	8.32698818413151
ESRP1	hsa-let-7a-3	41.8105735864462
TRMT10C	hsa-let-7a-3	86.6666666666667
RBM4	hsa-let-7a-3	0.498385794995965
RBM4B	hsa-let-7a-3	0
RBM12B	hsa-let-7a-3	1.70940170940171
SLTM	hsa-let-7a-3	0
SAFB	hsa-let-7a-3	0
FUS	hsa-let-7a-3	3.63884462301595
TAF15	hsa-let-7a-3	2.24518136450404
RBM14	hsa-let-7a-3	3.7677992079002
DDX1	hsa-let-7a-3	2.6982623315894
APOBEC3B	hsa-let-7a-3	0.577200577200577
RTCB	hsa-let-7a-3	0.987952066353234
DDX23	hsa-let-7a-3	2.5974025974026
RBM47	hsa-let-7a-3	0
PRMT1	hsa-let-7a-3	1.71277997364954
RBM6	hsa-let-7a-3	0
SUGP1	hsa-let-7a-3	0
PLRG1	hsa-let-7a-3	0
CDC5L	hsa-let-7a-3	0
CDC40	hsa-let-7a-3	0
SF3A1	hsa-let-7a-3	0
SF3A3	hsa-let-7a-3	0
SF3B1	hsa-let-7a-3	1.91825573848436
SF3B2	hsa-let-7a-3	2.15712393304591
SF3B3	hsa-let-7a-3	1.77442751645446
SF3B4	hsa-let-7a-3	0.4
SF3B5	hsa-let-7a-3	0
U2SURP	hsa-let-7a-3	2.05637325275944
RBM10	hsa-let-7a-3	0.425531914893617
CHERP	hsa-let-7a-3	0
CCAR1	hsa-let-7a-3	0
RBM17	hsa-let-7a-3	0
RBM5	hsa-let-7a-3	0
AQR	hsa-let-7a-3	3.33333333333333
XAB2	hsa-let-7a-3	0
PAXBP1	hsa-let-7a-3	0
PURA	hsa-let-7a-3	0.830564784053156
PURB	hsa-let-7a-3	2
PLOD1	hsa-let-7a-3	3.23507180650038
HNRNPA0	hsa-let-7a-3	1.92024896137495
HNRNPA1	hsa-let-7a-3	2.48532729718239
HNRNPA2B1	hsa-let-7a-3	2.69350369860676
HNRNPA3	hsa-let-7a-3	2.89714782516999
HNRNPK	hsa-let-7a-3	1.59879996913807
KIN	hsa-let-7a-3	0
TRIM71	hsa-let-7a-3	0
G3BP2	hsa-let-7a-3	1.06629194908249
ZC3H7A	hsa-let-7a-3	0
ZC3H7B	hsa-let-7a-3	0
XRN1	hsa-let-7a-3	0
TRIM25	hsa-let-7a-3	0.673400673400673
ATXN2L	hsa-let-7a-3	1.59690799396682
ATXN2	hsa-let-7a-3	0
NUFIP2	hsa-let-7a-3	1.4892937040588
TTC3	hsa-let-7a-3	0
PAPD4	hsa-let-7a-3	3.94487950667726
ZC3H11A	hsa-let-7a-3	0
HNRNPM	hsa-let-7a-3	1.90012082752231
ZNF346	hsa-let-7a-3	2.13623173433127
RTCA	hsa-let-7a-3	0.30441400304414
DHX36	hsa-let-7a-3	2.77181601034844
USP36	hsa-let-7a-3	0
PATL1	hsa-let-7a-3	0
EDC3	hsa-let-7a-3	0
EDC4	hsa-let-7a-3	0.493827160493827
DCP1A	hsa-let-7a-3	0
DCP1B	hsa-let-7a-3	0
DCP2	hsa-let-7a-3	0
DDX3X	hsa-let-7a-3	2.87328103302514
DDX3Y	hsa-let-7a-3	0
HNRNPR	hsa-let-7a-3	2.06345445051291
SYNCRIP	hsa-let-7a-3	1.60931957689899
ZFR	hsa-let-7a-3	1.22872462768098
TRMT1L	hsa-let-7a-3	0
MSI1	hsa-let-7a-3	1.2012012012012
MSI2	hsa-let-7a-3	3.33453585485128
TRIM26	hsa-let-7a-3	0
SART3	hsa-let-7a-3	0
RBBP6	hsa-let-7a-3	0
CRTAP	hsa-let-7a-3	0
P3H1	hsa-let-7a-3	0
TRA2A	hsa-let-7a-3	0.969094423941151
TRA2B	hsa-let-7a-3	1.27393499309966
WWP1	hsa-let-7a-3	0
WWP2	hsa-let-7a-3	0
CPSF1	hsa-let-7a-3	1.25
CPSF2	hsa-let-7a-3	5
CPSF3	hsa-let-7a-3	0
CPSF4	hsa-let-7a-3	0
NUDT21	hsa-let-7a-3	0.173611111111111
CPSF6	hsa-let-7a-3	0
CPSF7	hsa-let-7a-3	0
CSTF2	hsa-let-7a-3	0
CSTF3	hsa-let-7a-3	3.07692307692308
FIP1L1	hsa-let-7a-3	0
WDR33	hsa-let-7a-3	0
SYMPK	hsa-let-7a-3	3.81877022653722
EPRS	hsa-let-7a-3	3.19042807840782
RARS	hsa-let-7a-3	3.05631815127535
IARS	hsa-let-7a-3	4.36755508026006
LARS	hsa-let-7a-3	5.23896302673746
DARS	hsa-let-7a-3	2.41283163579831
QARS	hsa-let-7a-3	3.78183214019585
MARS	hsa-let-7a-3	3.55362382973482
KARS	hsa-let-7a-3	2.98723227841378
AIMP1	hsa-let-7a-3	4.69800348904827
AIMP2	hsa-let-7a-3	5.87265934948054
ZNF385A	hsa-let-7a-3	0
LARP7	hsa-let-7a-3	0.220601833505059
DZIP3	hsa-let-7a-3	0
TIAL1	hsa-let-7a-3	0
MYEF2	hsa-let-7a-3	2.77777777777778
RBFOX2	hsa-let-7a-3	0.208333333333333
KNOP1	hsa-let-7a-3	0
DHX37	hsa-let-7a-3	2.52750982999067
DDX21	hsa-let-7a-3	1.73504125214629
LRPPRC	hsa-let-7a-3	1.77146718042494
RBM45	hsa-let-7a-3	0
RBMS1	hsa-let-7a-3	0
RBMS2	hsa-let-7a-3	0
HARS2	hsa-let-7a-3	0
SUGP2	hsa-let-7a-3	1.39896654491492
MATR3	hsa-let-7a-3	1.17222662104817
YBX3	hsa-let-7a-3	1.11749468569812
YBX1	hsa-let-7a-3	1.91831840407239
YBX2	hsa-let-7a-3	0
C1QBP	hsa-let-7a-3	1.98750876225279
PTBP1	hsa-let-7a-3	0.888839415139656
PTBP3	hsa-let-7a-3	0
FAM98A	hsa-let-7a-3	1.15820899731677
FAM98B	hsa-let-7a-3	0
MTERF3	hsa-let-7a-3	0
PTCD3	hsa-let-7a-3	0
TRIM56	hsa-let-7a-3	0
PDCD11	hsa-let-7a-3	1.46569610996467
